Bank,IntChk2.5k,IntChk5k,MM2.5k,MM10k,MM25k,MM50k,MM100k,MM250k,Savings1k,Savings2.5k,3MoCD,6MoCD,9MoCD,1YrCD,18MoCD,2YrCD,30MoCD,3YrCD,4YrCD,5YrCD,36MoNAuto25k,48MoNAuto25k,60MoNAuto25k,72MoNAuto25k,36MoUAuto15k,48MoUAuto15k,60MoUAuto15k,72MoUAuto15k,36MoFixedUnsecLoan5k,60MoNRV25k,60MoNBoat25k,PlatCC,RwrdsCC,InterestIncomeoverAvgAssets,InterestExpenseoverAverageAssets,NetInterestIncomeoverAvgAssets,NetInterestMargin,YieldoverCostSpread,YieldonSecurities&OtherAssets,YieldonDebtandEquitySecurities,YieldonOtherAssets,AssetweightedSecurities&OtherYield,AssetweightedLoanYield,AssetweightedSecuritiesYield,AssetweightedOtherAssetYield,YieldonEarningAssets,YieldonLoansandLeases,NoninterestIncomeoverAverageAssets,GrossLoansoverAssets,LoansoverDeposits,OperatingExpenseoverOperatingRevenue,RiskBasedCapitalRatio,EquityoverAssets,ReservesoverNPAs,NetChargeoffsoverAvgLoans,LiquidityRatio,LiquidAssetsoverAssets,OneYearGapoverAssets,EarningAssetsoverIBL,CostofFunds,CostofInterestbearingLiabilities,CostofIntbearingDeposits,CostofBorrowings,CostofTimeDeposits$250K,CostofOtherTimeDeposits,LiabweighCostofIntbearDep,LiabilitywtdBorrowingCost,AssetGrowthRate,DepositGrowthRate,ChangeinAssets,ChangeinDeposits,ROAA
Bank1,0.01,0.01,0.05,0.05,0.05,0.05,0.09,0.09,0.04,0.04,0.08,0.1,0.1,0.2,0.2,0.35,0.35,0.35,0.35,0.35,2.29,2.29,2.29,2.69,2.29,2.29,2.29,2.69,7,3.39,3.39,,,3.7,0.06,3.64,4.1,4.06,3.03,3.27,1.82,1.02,3.16,0.92,0.1,4.18,4.76,0.59,58.58,72.99,51.26,14.77,15.72,543.04,0.03,39.85,33.59,10.15,167.32,0.08,0.12,0.1,1.9,0.43,0.22,0.1,0.01,-5.68,-5.26,-1.42,-1.32,-0.16
Bank2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.42,0.46,0.47,0.48,0.62,0.64,0.67,0.7,,0.75,,,,,,,,,,,,,,3.46,0.19,3.27,3.51,3.45,1.8,2.27,1.59,0.55,3.16,0.22,0.33,3.71,4.54,0.21,64.89,73.85,84.54,19.33,9.91,44.61,0,28.13,25.35,23.57,126.99,0.21,0.26,0.26,,0.39,0.7,0.26,,9.69,9.81,2.42,2.45,0.42
Bank3,0.2,0.2,0.15,0.2,0.5,0.5,0.5,0.5,0.2,0.2,0.15,0.3,,0.5,0.75,0.9,,1,1.3,1.5,6.5,6.5,6.5,6.75,7.25,7,6.75,,13.99,,,,,4.17,0.52,3.65,3.84,3.65,2.35,2.49,1.63,0.6,3.79,0.54,0.07,4.39,5.1,0.71,73.42,87.37,64.87,13.37,10.68,72.34,-0.03,12.51,11.17,33.37,134.36,0.58,0.74,0.67,3.11,1.31,1.32,0.65,0.08,-6.99,-13.41,-1.75,-3.35,1.08
Bank4,,,0.01,0.05,0.05,0.1,0.2,0.2,0.05,0.05,0.05,0.15,0.15,0.8,0.4,1.4,0.75,0.85,1.2,1.68,3.24,4.24,4.24,6.24,5.24,5.74,5.74,,14.22,,5.01,,,4.98,0.52,4.47,4.63,4.39,2.35,2.39,2.25,0.32,4.85,0.22,0.1,5.17,5.62,1.82,83.21,100.04,64.63,16.21,12.39,,-0.02,13.4,11.74,19.02,141.33,0.6,0.78,0.76,1.36,1.42,1.33,0.73,0.05,25.15,13.75,6.29,3.44,1.76
Bank5,0.04,0.04,0.07,0.07,0.16,0.21,0.25,0.25,0.06,0.06,0.05,0.1,,0.15,0.17,0.22,0.22,0.5,1,1.25,3.88,3.87,3.82,4.31,3.88,3.87,3.82,4.31,11.43,6.75,6.75,11.49,13.49,3.97,0.58,3.39,3.63,3.42,2.28,2.22,3.67,0.4,3.86,0.37,0.03,4.26,4.67,1.63,77.63,98.29,60.98,14.54,11.99,262.15,0.03,13.91,12.24,-20.97,133.94,0.67,0.84,0.71,1.9,1.59,1.37,0.63,0.21,11.19,2.41,2.8,0.6,1.28
Bank6,0.31,0.36,0.36,0.36,0.41,0.41,0.51,0.56,0.21,0.21,,0.41,,0.91,0.86,1.06,1.11,1.16,1.46,2.03,3.74,3.74,3.74,,4.74,4.74,4.74,,12.49,5.99,5.99,,10.5,3.65,0.89,2.76,2.87,2.78,2.67,2.65,23.46,1.31,2.47,1.31,0.01,3.79,4.87,0.45,49.17,56.58,62.62,19.77,8.86,186.16,0.04,35.69,32.52,-2.39,114.68,0.93,1,0.92,2.8,1.52,1.42,0.88,0.13,1.55,-0.27,0.39,-0.07,1.05
Bank7,0.05,0.05,0.09,0.17,0.27,0.37,0.46,0.46,0.05,0.08,0.12,0.21,0.15,0.28,0.3,0.45,0.5,0.67,0.65,0.99,4.94,4.94,4.94,5,5.72,5.72,5.72,,12.56,5.06,5.06,11.24,13.24,4.44,0.39,4.06,4.26,4.13,1.82,1.87,1.72,0.31,4.36,0.21,0.1,4.67,5.26,0.44,78.71,96.37,58.98,17.9,12.95,34.35,0.05,13.31,11.59,30.18,132.85,0.44,0.54,0.41,2.32,1.18,0.78,0.38,0.16,0.87,-3.8,0.22,-0.95,1.75
Bank8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,,,0,,,,0,,8.2,0,,0,100,99.87,,,101.39,0.13,0,,,,,,,,,,-1.39,,-0.35,,7.7
Bank9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62,0.31,2.31,2.49,2.38,1.68,1.74,1.61,0.69,2.13,0.39,0.3,2.83,3.63,0.24,52.46,62.66,83.97,38.24,15.02,26.35,-0.06,46.31,39.36,17.62,132.93,0.37,0.44,0.41,4.53,1.11,0.9,0.41,0.03,2.52,6.2,0.63,1.55,0.34
Bank10,,0.1,,0.15,0.15,0.15,0.15,0.15,0.05,0.1,0.5,0.7,0.8,1.51,,1.85,,1.94,2.16,2.27,,,,,,,,,,,,,,3.88,0.64,3.25,3.37,3.01,1.47,1.13,1.59,0.16,3.87,0.03,0.13,4.04,4.36,1.05,81.88,94.75,79.31,22.25,13.18,143.46,0,17.62,15.3,5.93,155.08,0.73,1.02,1.02,,1.09,1.23,1.02,,36.06,42.08,9.02,10.52,0.53
